id,order_id,total_cost,created_on
1,4,319,2019-01-15
2,8,431,2019-05-04
3,11,266,2019-07-26
4,12,837,2019-05-02
5,13,245,2019-02-13
6,15,706,2019-09-13
7,19,72,2019-02-01
8,20,242,2019-07-14
9,23,26,2019-11-09
10,25,66,2019-02-18
11,27,792,2019-01-12
12,28,384,2019-11-14
13,30,180,2019-03-12
14,35,626,2019-02-16
15,40,920,2018-12-25
16,41,29,2018-12-01
17,46,739,2019-02-15
18,48,914,2019-08-12
19,49,139,2019-04-11
20,54,965,2019-08-23
21,57,304,2019-05-31
22,59,430,2019-06-23
23,60,271,2019-05-02
24,68,628,2019-01-30
25,69,596,2019-07-29
26,71,153,2019-11-03
27,72,39,2019-07-12
28,76,649,2019-09-11
29,80,887,2019-10-26
30,81,868,2019-10-23
31,82,695,2019-01-29
32,86,726,2019-03-01
33,87,52,2019-05-01
34,90,673,2019-05-08
35,92,338,2018-12-09
36,94,829,2019-08-04
37,96,58,2019-04-27
38,98,66,2018-12-04
39,101,238,2018-12-20
40,102,163,2019-03-24
41,104,851,2019-01-06
42,106,788,2019-11-01
43,108,640,2018-12-13
44,109,10,2019-03-14
45,110,619,2019-10-06
46,111,438,2019-02-02
47,112,704,2019-02-27
48,121,970,2018-12-09
49,124,841,2018-12-18
50,125,409,2019-08-16
51,131,226,2019-09-13
52,134,952,2018-12-14
53,135,718,2019-01-18
54,136,649,2019-04-30
55,141,609,2019-01-13
56,143,589,2019-04-28
57,145,30,2019-11-02
58,148,392,2019-01-10
59,149,217,2019-02-22
60,150,968,2018-12-09
61,154,688,2019-07-16
62,156,202,2019-08-25
63,157,491,2019-08-10
64,161,854,2019-05-25
65,163,26,2019-04-29
66,165,913,2019-01-24
67,167,54,2019-03-21
68,171,366,2019-08-13
69,173,501,2019-10-31
70,176,402,2019-04-04
71,177,133,2019-05-19
72,185,806,2019-10-17
73,188,575,2019-10-13
74,189,457,2019-02-09
75,193,133,2019-06-12
76,196,357,2019-08-04
77,197,548,2019-02-06
78,200,403,2019-09-27
79,201,704,2019-07-30
80,215,117,2019-01-26
81,216,661,2019-07-28
82,218,779,2019-01-06
83,220,566,2019-11-22
84,221,883,2019-02-26
85,222,824,2019-03-07
86,223,816,2019-07-09
87,225,622,2019-06-29
88,226,589,2019-09-29
89,229,596,2019-09-26
90,230,112,2018-12-20
91,239,956,2019-05-09
92,240,824,2019-02-15
93,241,170,2019-09-03
94,243,400,2019-08-03
95,244,874,2019-05-20
96,246,946,2019-04-19
97,247,964,2019-01-30
98,250,354,2019-07-15
99,253,231,2019-05-29
100,258,183,2019-06-15
101,259,292,2019-02-13
102,260,831,2019-07-22
103,264,88,2019-08-22
104,268,895,2019-08-01
105,270,930,2019-03-03
106,271,944,2019-06-10
107,274,979,2019-07-15
108,282,946,2019-05-11
109,284,383,2019-03-21
110,285,110,2019-09-29
111,289,377,2019-04-06
112,292,342,2019-09-20
113,297,957,2018-12-20
114,303,291,2019-01-14
115,313,844,2018-12-29
116,314,753,2019-11-19
117,316,619,2018-12-12
118,319,443,2019-10-27
119,325,814,2019-05-10
120,326,374,2019-01-27
121,328,67,2019-11-27
122,329,419,2019-11-03
123,332,327,2019-05-11
124,333,260,2019-05-23
125,348,597,2019-03-16
126,351,869,2019-10-05
127,352,544,2019-11-02
128,358,808,2019-08-30
129,361,495,2019-10-16
130,364,347,2019-07-08
131,365,173,2018-12-29
132,367,232,2019-03-18
133,377,627,2019-07-17
134,378,28,2019-03-15
135,381,15,2019-11-24
136,383,547,2019-07-16
137,385,660,2019-10-07
138,387,454,2019-09-26
139,388,87,2019-03-30
140,389,267,2019-07-19
141,391,347,2019-04-02
142,393,496,2019-08-30
143,395,415,2018-12-10
144,396,527,2019-08-13
145,397,357,2018-12-11
146,402,301,2019-11-22
147,416,867,2019-09-07
148,418,805,2019-06-08
149,421,16,2019-03-03
150,422,56,2019-09-18
151,423,286,2019-11-05
152,426,434,2019-02-24
153,427,358,2018-12-24
154,429,397,2019-10-20
155,434,474,2019-04-02
156,439,473,2019-10-01
157,440,451,2019-10-18
158,442,806,2019-11-17
159,446,268,2019-06-16
160,452,28,2019-03-18
161,455,257,2019-11-17
162,460,256,2019-09-14
163,466,320,2019-06-19
164,467,449,2019-06-05
165,468,962,2019-05-09
166,471,859,2019-07-09
167,474,503,2019-04-18
168,476,155,2018-12-04
169,477,310,2019-01-24
170,488,598,2019-10-07
171,490,275,2019-09-26
172,492,466,2019-08-29
173,493,41,2019-07-25
174,496,445,2019-02-19
175,502,628,2019-05-10
176,508,412,2019-03-20
177,511,945,2019-08-23
178,514,574,2019-07-31
179,516,201,2019-08-30
180,517,350,2019-01-15
181,523,637,2019-05-06
182,525,568,2019-09-20
183,526,279,2019-09-22
184,535,814,2019-01-06
185,538,996,2019-11-17
186,539,727,2019-05-27
187,545,10,2019-03-08
188,546,697,2019-07-04
189,549,839,2019-02-28
190,550,764,2019-05-31
191,551,505,2019-04-04
192,552,606,2019-07-28
193,554,92,2019-05-26
194,556,355,2019-07-26
195,558,882,2019-10-12
196,566,624,2019-02-09
197,569,206,2018-12-10
198,570,338,2019-08-28
199,575,854,2019-05-02
200,576,733,2019-09-05
201,579,21,2019-01-31
202,582,64,2019-06-09
203,595,423,2018-12-03
204,597,381,2019-07-04
205,598,217,2019-09-25
206,599,693,2019-02-09
207,603,372,2019-04-20
208,606,971,2019-03-07
209,607,567,2019-06-22
210,609,262,2019-04-29
211,610,977,2019-06-06
212,611,53,2019-09-24
213,615,109,2019-02-04
214,622,879,2019-03-04
215,625,314,2019-11-28
